product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,color,image_url,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,ai_enabled,cpu_clock,sim_slots,price,renewed
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 S,637290,27%,1999,1449.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/f/8/4/e/f84ec946549905ffa144a2fefcc069b793b9ca71_637290.jpg,HarmonyOS 4.2,8 GB RAM,PaperMatte Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint, PaperMatte Screen",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-s-tablet-pc-637290.html,,,,1449.0,new
Tablet - 5G,Apple,iPad Air 13 M2,635566,12%,4399,3849.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/1/7/6/7/17672a65cbb0d1fa3d69e8bbb19a0a2832a90475_635566.jpg,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635566.html,Apple Intelligence,,,3849.0,new
Tablet - Wi-Fi (with Keyboard),Honor,Pad 9,631623,33%,1499,999.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/9/3/6/a/936a82f83f0cd1cbc739f21fdb9b96e76635b39d_631623.jpg,Android 13,8 GB RAM,QHD Touchscreen,"12.1""",2560 X 1600 Pixels,,256 GB,.93 kg ( 2.05 lb ),https://www.jarir.com/sa-en/honor-tablet-pc-631623.html,,4X 2.2 (Cortex-A78) + 4X 1.8 (Cortex-A55) GHz,,999.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 12 X,644211,20%,2499,1999.0,White,https://ak-asset.jarir.com/akeneo-prod/asset/7/4/4/9/744917cf33a8f90a4bd1d62aff3df32c730deb62_644211.jpg,HarmonyOS 4.2,12 GB RAM,PaperMatte Touchscreen,"12""",2800 X 1840 Pixels,"HUAWEI Notes, GoPaint, 65W Fast Charging",256 GB,555.00 g ( 1.22 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-644211.html,,,,1999.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 S,650690,25%,1999,1499.0,Violet,https://ak-asset.jarir.com/akeneo-prod/asset/d/4/9/3/d493339a92e69dc2362abeaecfd57efc4c490ae2_650690.jpg,HarmonyOS 4.2,8 GB RAM,IPS FHD Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint, PaperMatte Screen",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-s-tablet-pc-650690.html,,,,1499.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 S,650685,25%,1999,1499.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/1/4/c/0/14c03a9f46cfe2413dcb4b154ff362ae0015b4d5_650685.jpg,HarmonyOS 4.2,8 GB RAM,IPS FHD Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint, PaperMatte Screen",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-s-tablet-pc-650685.html,,,,1499.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 12 X,644216,20%,2499,1999.0,Green,https://ak-asset.jarir.com/akeneo-prod/asset/9/6/c/e/96ce2f8e3b0b358ee53b272a6f66ddb5ee88d762_644216.jpg,HarmonyOS 4.2,12 GB RAM,PaperMatte Touchscreen,"12""",2800 X 1840 Pixels,"HUAWEI Notes, GoPaint, 65W Fast Charging",256 GB,555.00 g ( 1.22 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-644216.html,,,,1999.0,new
Wi-Fi Tablet PC,Xiaomi,Redmi Pad Pro,636068,28%,1399,999.0,Graphite Grey,https://ak-asset.jarir.com/akeneo-prod/asset/6/5/0/e/650e14f3d0e43cfdc0b275e93c629083a852308b_636068.jpg,Android HyperOS,8 GB RAM,FHD+ IPS LCD 120 Hz Display,"12.1""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,570.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/xiaomi-tablet-pc-636068.html,,2.4 GHz,,999.0,new
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635543,11%,4049,3599.0,Blue,https://ak-asset.jarir.com/akeneo-prod/asset/5/f/e/3/5fe30d41ee547d4e6b8f162b83d021cf22c8ff79_635543.jpg,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,512 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635543.html,Apple Intelligence,,,3599.0,new
Tablet - Wi-Fi (with Folio Case Cover & Stylus),Honor,Pad V9,652869,27%,1799,1299.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/2/9/f/d/29fda322baa32ced771e6da1802fe5a8ac08394c_652869.jpg,MagicOS 9.0,12 GB RAM,2.8K LCD Display,"11.5""",2800 X 1840 Pixels,,256 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/honor-pad-x9-tablet-pc-652869.html,,3.35 GHz + 3.2 GHz + 2.2 GHz,,1299.0,new
