product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_enabled,color,cpu_clock,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,sim_slots
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 12 X,644211,20%,2499,1999,,White,,HarmonyOS 4.2,12 GB RAM,PaperMatte Touchscreen,"12""",2800 X 1840 Pixels,"HUAWEI Notes, GoPaint, 65W Fast Charging",256 GB,555.00 g ( 1.22 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-644211.html,
Tablet - Wi-Fi (with Keyboard),Honor,Pad 9,631623,33%,1499,999,,Space Grey,4X 2.2 (Cortex-A78) + 4X 1.8 (Cortex-A55) GHz,Android 13,8 GB RAM,QHD Touchscreen,"12.1""",2560 X 1600 Pixels,,256 GB,.93 kg ( 2.05 lb ),https://www.jarir.com/sa-en/honor-tablet-pc-631623.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635543,11%,4049,3599,Apple Intelligence,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,512 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635543.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 S,650690,25%,1999,1499,,Violet,,HarmonyOS 4.2,8 GB RAM,IPS FHD Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint, PaperMatte Screen",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-s-tablet-pc-650690.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 S,650685,25%,1999,1499,,Space Grey,,HarmonyOS 4.2,8 GB RAM,IPS FHD Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint, PaperMatte Screen",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-s-tablet-pc-650685.html,
Tablet - Wi-Fi (with Folio Case Cover & Stylus),Honor,Pad V9,652876,27%,1799,1299,,White,3.35 GHz + 3.2 GHz + 2.2 GHz,MagicOS 9.0,12 GB RAM,2.8K LCD Display,"11.5""",2800 X 1840 Pixels,,256 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/honor-pad-x9-tablet-pc-652876.html,
Tablet - Wi-Fi (with Folio Case Cover & Stylus),Honor,Pad V9,652869,27%,1799,1299,,Grey,3.35 GHz + 3.2 GHz + 2.2 GHz,MagicOS 9.0,12 GB RAM,2.8K LCD Display,"11.5""",2800 X 1840 Pixels,,256 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/honor-pad-x9-tablet-pc-652869.html,
Wi-Fi Tablet PC,Xiaomi,Redmi Pad Pro,636070,28%,1399,999,,Ocean Blue,2.4 GHz,Android HyperOS,8 GB RAM,FHD+ IPS LCD 120 Hz Display,"12.1""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,570.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/xiaomi-tablet-pc-636070.html,
Wi-Fi Tablet PC,Xiaomi,Redmi Pad Pro,636068,28%,1399,999,,Graphite Grey,2.4 GHz,Android HyperOS,8 GB RAM,FHD+ IPS LCD 120 Hz Display,"12.1""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,570.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/xiaomi-tablet-pc-636068.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 12 X,644206,17%,2299,1899,,White,,HarmonyOS 4.2,8 GB RAM,LCD Touchscreen,"12""",2800 X 1840 Pixels,"HUAWEI Notes, GoPaint, 65W Fast Charging",256 GB,555.00 g ( 1.22 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-644206.html,
