product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_enabled,color,cpu_clock,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,sim_slots
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598670,2%,1899,1849,,Blue,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598670.html,
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598667,3%,1299,1249,,Pink,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Fingerprint Sensor Touch ID,64 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598667.html,
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598668,2%,1899,1849,,Silver,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598668.html,
Tablet - Wi-Fi (with Case Cover + Film),Lenovo,Tab M9,647252,11%,449,399,,Arctic Grey,2.0 + 1.8 GHz,Android 12,4 GB RAM,HD IPS 400N Touchscreen,"9""",1340 X 800 Pixels,"Accelerometer, Ambient Light, Hall Sensor",64 GB (eMMC),344.00 g ( 12.14 oz ),https://www.jarir.com/sa-en/lenovo-tab-m9-tablet-pc-647252.html,
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598722,2%,1899,1849,,Pink,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598722.html,
Wi-Fi Tablet PC,Huawei,MatePad SE 11,635866,2%,799,779,,Nebula Grey,,HarmonyOS 2,4 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-635866.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 PaperMatte,663329,,1599,,,Space Grey,,HarmonyOS 4.2,8 GB RAM,120 Hz PaperMatte Touchscreen,"11.5""",2200 X 1440 Pixels,Huawei App Gallery,256 GB,499.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-papermatte-tablet-pc-663329.html,
Tablet - Wi-Fi (with Clear Case Cover),Honor,Pad X8,619670,,699,,,Blue Hour,2X 2.0 (Cortex A75) + 6X 1.8 (Cortex A55) GHz,Android S,4 GB RAM,IPS-LCD Touchscreen,"10.1""",1920 X 1200 Pixels,"Blue Light Filter, Posture Alerts, e-Book Mode",64 GB,.46 kg ( 1.01 lb ),https://www.jarir.com/sa-en/honor-tablet-pc-619670.html,
Tablet - 4G (with Case Cover),Lenovo,Tab M10 (3rd Gen),600565,,799,,,Storm Grey,1.8 GHz,Android 11,4 GB RAM,IPS FHD-LCD Touchscreen,"10.1""",1920 X 1200 Pixels,,64 GB,460.00 g ( 1.01 lb ),https://www.jarir.com/sa-en/lenovo-tab-m10-3rd-gen-tablet-pc-600565.html,1 SIM
Tablet - 5G,Apple,iPad Pro 11 M4,635589,,5599,,Apple Intelligence,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-tablet-pc-635589.html,
Wi-Fi Tablet PC,Apple,iPad Pro 11 M4,637758,,7849,,Apple Intelligence,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-tablet-pc-637758.html,
Tablet - Wi-Fi with Stand,Taktik,H01,662029,,2199,,,White,2.0 + 1.8 GHz,Android 15,6 GB RAM,IPS FHD-LCD Touchscreen,"27""",1920 X 1080 Pixels,Built-In Stand,128 GB,0.01,https://www.jarir.com/sa-en/taktik-h01-tablet-pc-662029.html,
Tablet - 5G,Apple,iPad Pro 11 M4,635613,,6499,,Apple Intelligence,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 GB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-tablet-pc-635613.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M3,654265,,5949,,Apple Intelligence,Starlight,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,1 TB,616.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m3-tablet-pc-654265.html,
Tablet - 4G,Lenovo,Tab M8 (4th Gen),600555,,549,,,Arctic Grey,2.0 GHz,Android 12 Go,2 GB RAM,IPS HD-LCD Touchscreen,"8""",1280 X 800 Pixels,,32 GB,320.00 g ( 11.30 oz ),https://www.jarir.com/sa-en/lenovo-tab-m8-4th-gen-tablet-pc-600555.html,1 SIM
Tablet - 4G,Apple,iPad Pro 12.9 - 2020,641450,40%,6519,3899,,Space Grey,,iPadOS,,Liquid Retina Display,"12.9""",2732 X 2048 Pixels,"Ultralow Reflectivity, True Tone, LiDAR Scanner",512 MB,643.00 g ( 1.42 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2020-renewed-tablet-pc-641450.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,652517,49%,8149,4099,,Silver,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-m2-renewed-tablet-pc-652517.html,
Tablet - 5G,Apple,iPad Pro 12.9 M1,642391,35%,6999,4499,,Silver,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer",512 MB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-642391.html,1 SIM
Tablet - 5G,Apple,iPad Pro 12.9 M2,620155,39%,6149,3699,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-620155.html,1 SIM
Tablet - 5G,Apple,iPad Pro 12.9 M1,660247,35%,6999,4499,Apple Intelligence,Silver,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",512 MB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-m1-renewed-tablet-pc-660247.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,631528,38%,6349,3899,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-631528.html,
Tablet - 5G,Apple,iPad Pro 12.9 M1,621618,38%,6199,3799,,Space Grey,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",256 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2021-renewed-tablet-pc-621618.html,1 SIM
Tablet - 5G,Apple,iPad Pro 13 M4,639801,30%,6899,4799,,Space Black,3 Performance Cores/6 Efficiency Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,582.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-639801.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M1,571841,37%,5399,3399,,Space Grey,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",256 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2021-renewed-tablet-pc-571841.html,
Tablet - 5G,Apple,iPad Pro 12.9 M2,634796,29%,7049,4999,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-634796.html,1 SIM
Tablet - 5G,Apple,iPad Pro 13 M4,639834,27%,6899,4999,,Space Black,3 Performance Cores/6 Efficiency Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,582.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-639834.html,
Tablet - 5G,Samsung,Galaxy Tab S8,661273,54%,3299,1499,,Silver,,Android 12,8 GB RAM,TFT-LCD Touchscreen,"11""",2560 X 1600 Pixels,Fingerprint,128 GB,507.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s8-renewed-tablet-pc-661273.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 11 M4,659441,23%,7849,5999,Apple Intelligence,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-renewed-tablet-pc-659441.html,
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,641441,24%,6899,5199,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-renewed-tablet-pc-641441.html,
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,641447,28%,5999,4299,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-renewed-tablet-pc-641447.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,619791,30%,5449,3799,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-619791.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,652358,40%,3599,2149,,Premium Gold,,HarmonyOS 4.2,12 GB RAM,OLED PaperMatte Touchscreen,"12.2""",2800 X 1840 Pixels,"Huawei Notes, GoPaint, 100W Fast Charging, Smart Device",512 MB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-12-2-renewed-tablet-pc-652358.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,644022,30%,5049,3499,,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,512 MB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-renewed-tablet-pc-644022.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,618045,28%,4999,3599,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",128 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-618045.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,620481,28%,4999,3599,,Silver,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",128 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-620481.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,637581,26%,4899,3599,,Silver,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-637581.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M3,661369,24%,3699,2799,Apple Intelligence,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,616.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m3-renewed-tablet-pc-661369.html,
Tablet - 5G,Apple,iPad Pro 11 M4,643932,13%,6499,5599,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-renewed-tablet-pc-643932.html,
Tablet - 5G,Apple,iPad Pro 11 M4,645420,21%,5599,4399,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-renewed-tablet-pc-645420.html,
Tablet - 5G,Apple,iPad Pro 11 M4,646692,13%,6499,5599,,Silver,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer Three-axis Gyro, Barometer, Ambient Light",512 MB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-renewed-tablet-pc-646692.html,
Tablet - 5G,Apple,iPad Pro 11 M4,645347,12%,5599,4899,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-renewed-tablet-pc-645347.html,
Tablet - 5G,Apple,iPad Pro 12.9 M2,638768,34%,10649,6999,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",2 TB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-638768.html,1 SIM
Tablet - 5G,Samsung,Galaxy Tab S8+,646821,59%,4099,1649,,Graphite,,Android 12,8 GB RAM,Super AMOLED Capacitive Touchscreen,"12.4""",2800 X 1752 Pixels,Fingerprint,128 GB,572.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s8-renewed-tablet-pc-646821.html,1 SIM
Tablet - 5G,Apple,iPad Pro 12.9 M2,635192,29%,8849,6199,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-635192.html,1 SIM
Tablet - 5G,Apple,iPad Pro 11 M1,641875,38%,7499,4599,,Space Grey,,iPadOS 14,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",1 TB,468.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2021-renewed-tablet-pc-641875.html,1 SIM
Tablet - 5G,Apple,iPad Pro 12.9 M1,656191,40%,5699,3399,,Silver,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",128 GB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-m1-renewed-tablet-pc-656191.html,1 SIM
Tablet - 5G,Apple,iPad Pro 12.9 M2,620154,33%,6149,4099,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-620154.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M1,660241,36%,5999,3799,Apple Intelligence,Silver,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",512 MB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-m1-renewed-tablet-pc-660241.html,
Tablet - 5G,Apple,iPad Pro 12.9 M1,621428,35%,6199,3999,,Space Grey,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",256 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2021-renewed-tablet-pc-621428.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,657100,22%,8699,6699,,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-renewed-tablet-pc-657100.html,
Tablet - 5G,Apple,iPad Pro 11 M4,656280,24%,8299,6299,,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-renewed-tablet-pc-656280.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M1,584834,37%,5399,3399,,Silver,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",256 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-584834.html,
Tablet - 5G,Apple,iPad Pro 11 M2,641688,25%,7549,5599,,Silver,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,470.00 g ( 1.04 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-renewed-tablet-pc-641688.html,1 SIM
Wi-Fi Tablet PC,Huawei,MatePad Pro 13.2,656248,51%,3599,1749,,Golden Black,,HarmonyOS 4,12 GB RAM,OLED,"13.2""",2880 X 1920 Pixels,"HarmonyOS Intelligent Interaction, 88W Super Fast Charging",256 GB,580.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-13-2-renewed-tablet-pc-656248.html,
Tablet - 5G,Apple,iPad Pro 11 M4,642938,17%,10199,8399,,Silver,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer",2 TB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-642938.html,
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,661371,24%,6899,5199,Apple Intelligence,Silver,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-renewed-tablet-pc-661371.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 - 2020,648365,34%,4899,3199,,Space Grey,,iPadOS,,Liquid Retina Display,"12.9""",2732 X 2048 Pixels,"Ultralow Reflectivity, True Tone, LiDAR Scanner",256 GB,641.00 g ( 1.41 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2020-renewed-tablet-pc-648365.html,
Wi-Fi Tablet PC,Apple,iPad Pro 11 M4,639799,28%,5599,3999,,Space Black,3 Performance Cores/6 Efficiency Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,444.00 g ( 15.67 oz ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-639799.html,
Tablet - 5G,Apple,iPad Pro 13 M4,648663,16%,9599,7999,,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-renewed-tablet-pc-648663.html,
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,648506,25%,5999,4499,,Silver,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-renewed-tablet-pc-648506.html,
Tablet - 5G,Apple,iPad Pro 13 M4,646810,19%,7799,6299,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,582.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-renewed-tablet-pc-646810.html,
Tablet - 5G,Apple,iPad Air 13 M2,645415,29%,4849,3399,,Space Grey,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,256 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-renewed-tablet-pc-645415.html,
Tablet - 5G,Apple,iPad Air 13 M2,661358,31%,4399,2999,Apple Intelligence,Starlight,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-renewed-tablet-pc-661358.html,
Tablet - 5G,Apple,iPad 10.9 10th Gen,621623,36%,3449,2199,,Blue,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,481.00 g ( 1.06 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-renewed-tablet-pc-621623.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,648281,23%,5999,4599,,Silver,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-renewed-tablet-pc-648281.html,
Wi-Fi Tablet PC,Apple,iPad Pro 11 M4,658940,23%,5599,4299,,Silver,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,444.00 g ( 15.67 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-renewed-tablet-pc-658940.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,620479,24%,4999,3799,,Silver,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",128 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-620479.html,
Tablet - 5G,Apple,iPad Pro 13 M4,648329,12%,9599,8399,,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-renewed-tablet-pc-648329.html,
