product_type,series,cpu_model,cpu_clock,gpu_model,ram,storage,os,os_arch,ai_coprocessor,ai_enabled,connectivity,ports,color,width_cm,height_cm,depth_cm,weight_kg,regular_price_sar,sale_price_sar,discount_percent,warranty_code,screen_size_inch,release_date,screen_refresh_rate_hz,screen_resolution,audio_feature,special_features,webcam,vr_ready,product_url
Gaming Laptop,Lenovo LOQ,Intel Core i7-14700HX (14th Gen),P-core: 2.1 - 5.5 GHz/E-core: 1.5 - 3.9 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB M.2 NVMe PCIe 4.0 SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1(8K@60Hz)/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,Luna Grey,35.99 cm ( 14.17 in ),25.87 cm ( 10.19 in ),2.19 cm ( .86 in ),2.38 kg ( 5.25 lb ),4999.0,4499.0,10%,26-ASP12Y2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),2 X 2W Optimized with Nahimic Audio,,FHD 1080p with E-shutter,,https://www.jarir.com/sa-en/lenovo-loq-laptops-641551.html
Gaming Laptop,Lenovo LOQ,Intel Core i5-12450HX (12th Gen),2.0 GHz,NVIDIA GeForce RTX 2050 (4 GB),12 GB RAM,512 GB NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1(8K@60Hz)/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,Luna Grey,35.99 cm ( 14.17 in ),25.87 cm ( 10.19 in ),2.19 cm ( .86 in ),2.38 kg ( 5.25 lb ),2999.0,2549.0,15%,26-ASP12Y2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),2 X 2W Optimized with Nahimic Audio,,720p HD with E-shutter,,https://www.jarir.com/sa-en/lenovo-loq-laptops-641553.html
Gaming Laptop,Acer Nitro,Intel Core i9-13900H (13th Gen),4.1 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB SSD,Windows 11,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1/USB 2.0/USB 3.1/USB-C,Black,32.30 cm ( 12.72 in ),23.90 cm ( 9.41 in ),2.35 cm ( .93 in ),2.10 kg ( 4.63 lb ),5199.0,4799.0,7%,34-ASPY2,"15.6""",2024,FHD IPS 165 Hz Display,1920 X 1080 (FHD),Built-in Speakers/Mic,,720p HD Camera,VR Enabled,https://www.jarir.com/sa-en/acer-nitro-v-laptops-649879.html
Gaming Laptop,Asus TUF Gaming,AMD Ryzen 7-7435HS,3.1 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB M.2 NVMe PCIe 4.0 SSD,Windows 11 Home,64 bit,,,Wi-Fi (6)/Bluetooth (5.3),HDMI 2.1/USB 3.2/USB-C 3.2/RJ-45/3.5 mm Combo Audio Jack,Mecha Grey,35.40 cm ( 13.94 in ),25.10 cm ( 9.88 in ),2.49 cm ( .98 in ),2.20 kg ( 4.85 lb ),4999.0,,,A0-ASPY2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"AI Noise Cancelling, Dolby Atmos",Backlit Chiclet Keyboard 1-Zone RGB,720p HD Camera,,https://www.jarir.com/sa-en/asus-laptops-637823.html
Gaming Laptop,HP Victus,Intel Core i5-14450HX (14th Gen),P-core: 2.4 - 4.8 GHz/E-core: 1.8 - 3.5 GHz,NVIDIA GeForce RTX 3050 (6 GB),16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi (6E)/Bluetooth (5.3),HDMI/USB/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,Mica Silver,36.90 cm ( 14.53 in ),25.94 cm ( 10.21 in ),2.39 cm ( .94 in ),2.31 kg ( 5.09 lb ),4999.0,,,24-ASP12Y2,"16.1""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"DTS:X Ultra, Dual Speakers, HP Audio Boost, HyperX","Backlit Keyboard, Low Blue Light",True Vision FHD Webcam,,https://www.jarir.com/sa-en/hp-victus-laptops-634894.html
Gaming Laptop,Asus TUF Gaming,AMD Ryzen 7-7435HS,3.1 GHz,NVIDIA GeForce RTX 3050 (4 GB),16 GB RAM,512 GB NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi (6)/Bluetooth (5.3),HDMI 2.1/USB 3.2/USB-C 3.2/RJ-45/3.5 mm Combo Audio Jack,Graphite Black,35.90 cm ( 14.13 in ),25.60 cm ( 10.08 in ),2.45 cm ( .96 in ),2.30 kg ( 5.07 lb ),3599.0,,,A0-ASPY2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"AI Noise Cancelling Tech, DTS Software",,720p HD Camera,,https://www.jarir.com/sa-en/asus-laptops-637826.html
Gaming Laptop,Asus ROG Strix,Intel Core i9-14900HX (14th Gen),2.2 - 5.8 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB M.2 NVMe PCIe 4.0 SSD,Windows 11 Home,64 bit,,,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB 3.2/USB-C 3.2/Thunderbolt 4/RJ-45/3.5 mm Combo Audio Jack,Eclipse Grey,,,,2.50 kg ( 5.51 lb ),7499.0,,,A0-ASPY2,"16""",2024,FHD-LED Display 165 Hz,1920 X 1200 (FHD+),"2 Speakers with Smart Amplifier Technology, Dolby Atmos","AI Noise Canceling, Backlit Chiclet Keyboard 4-Zone RGB",720p HD Camera,,https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-635917.html
Gaming Laptop,Asus TUF Gaming,AMD Ryzen 7-7435HS,3.1 GHz,NVIDIA GeForce RTX 2050 (4 GB),8 GB RAM,512 GB NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi (6)/Bluetooth (5.3),HDMI 2.1/USB 3.2/USB-C 3.2/RJ-45/Audio Combo Port,Graphite Black,35.90 cm ( 14.13 in ),25.60 cm ( 10.08 in ),2.28 cm ( .90 in ),2.30 kg ( 5.07 lb ),2999.0,,,A0-ASPY2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"2 Speaker System, DTS Software",Backlit Chiclet Keyboard 1 Zone RGB,720p HD Camera,,https://www.jarir.com/sa-en/asus-laptops-635998.html
Gaming Laptop,HP Victus,AMD Ryzen 7-7840HS,5.1 GHz,NVIDIA GeForce RTX 4060 (8 GB),32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi (6)/Bluetooth (5.3),HDMI 2.1/USB/USB-C/RJ-45/Audio Combo Port,Performance Blue,36.90 cm ( 14.53 in ),25.94 cm ( 10.21 in ),2.39 cm ( .94 in ),2.33 kg ( 5.14 lb ),7299.0,,,24-ASP12Y2,"16.1""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"B&O PLAY, Dual Speakers, HP Audio Boost","Backlit Keyboard with Numeric Keypad, Low Blue Light",True Vision FHD Webcam,,https://www.jarir.com/sa-en/hp-16-s0004nx-laptops-634895.html
2-in-1 Gaming Laptop - Convertible,Asus ROG Republic of Gamers,AMD Ryzen AI MAX 390,3.2 GHz,AMD Radeon Graphics,32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,AMD Ryzen AI up to 50 TOPS,CoPilot+ PC,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/USB-C (DisplayPort/PD)/3.5 mm Combo Audio Jack,Off Black,30.00 cm ( 11.81 in ),20.40 cm ( 8.03 in ),1.49 cm ( .59 in ),1.20 kg ( 2.65 lb ),8999.0,,,A0-ASPY2,"13.4""",2024,2.5K Display,2560 X 1600 (WQXGA),"2 X 2W Dual-force Speakers, Dolby Atmos",MUX Switch + NVIDIA Advanced Optimus,Rear: 5 MP (IR Camera)/Front: 13 MP,VR Enabled,https://www.jarir.com/sa-en/asus-rog-zephyrus-g16-laptops-648713.html
Gaming Laptop,Asus ROG Republic of Gamers,AMD Ryzen AI 9 HX 370,2.0 GHz,NVIDIA GeForce RTX 4070 (8 GB),32 GB RAM,1 TB M.2 NVMe PCIe 4.0 SSD,Windows 11 Home,64 bit,AMD XDNA up to 50 TOPS,CoPilot+ PC,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/USB-C (DisplayPort)/Audio Combo Port,Platinum White,35.40 cm ( 13.94 in ),24.60 cm ( 9.69 in ),1.49 cm ( .59 in ),1.85 kg ( 4.08 lb ),10699.0,,,A0-ASPY2,"16""",2024,2.5K WQXGA OLED 240 Hz,2560 X 1600 (WQXGA),4 Speaker (Dual-force Woofer)/2 Tweeters,MUX Switch + NVIDIA Advanced Optimus,1080P FHD IR Camera,VR Enabled,https://www.jarir.com/sa-en/asus-laptops-641091.html
Gaming Laptop,HP OMEN,Intel Core i7-14700HX (14th Gen),5.5 GHz,NVIDIA GeForce RTX 4060 (8 GB),32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB/USB-C (Thunderbolt 4/DisplayPort 1.4)/RJ-45/Audio Combo Port,Shadow Black,36.90 cm ( 14.53 in ),25.94 cm ( 10.21 in ),2.35 cm ( .93 in ),2.39 kg ( 5.27 lb ),8499.0,,,24-ASP12Y2,"16.1""",2024,QHD-IPS Display,2560 X 1440 (QHD),"DTS:X Ultra, Dual Speakers, HP Audio Boost, HyperX","4-zone RGB Backlit, Low Blue Light",True Vision FHD Webcam,,https://www.jarir.com/sa-en/hp-omen-laptops-634919.html
Gaming Laptop,HP OMEN,Intel Core Ultra 9 185H,5.1 GHz,NVIDIA GeForce RTX 4070 (8 GB),32 GB RAM,2 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,Intel AI Boost,AI Enabled,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/USB-C (Thunderbolt 4/DisplayPort 1.4)/Audio Combo Port,Shadow Black,31.30 cm ( 12.32 in ),23.35 cm ( 9.19 in ),1.79 cm ( .70 in ),1.63 kg ( 3.59 lb ),12699.0,,,24-ASP12Y2,"14""",2024,2.8K OLED 400N Display,2880 X 1800 (OLED),"DTS:X Ultra, Dual Speakers, HP Audio Boost","RGB Backlit, Low Blue Light",True Vision FHD Webcam,,https://www.jarir.com/sa-en/hp-omen-laptops-634904.html
Gaming Laptop,HP Victus,Intel Core i7-14650HX (14th Gen),P-core: 2.2 - 5.2 GHz/E-core: 1.6 - 3.7 GHz,NVIDIA GeForce RTX 4050 (6 GB),16 GB RAM,1 TB PCIe Gen4,Windows 11,64 bit,,,Wi-Fi/Bluetooth,,Mica Silver,,,,2.33 kg ( 5.14 lb ),6499.0,,,24-ASP12Y2,"16.1""",2024,FHD-IPS Anti-glare,1920 X 1080 (FHD),,,FHD 1080p with Privacy Shutter,,https://www.jarir.com/sa-en/hp-victus-laptops-646603.html
Gaming Laptop,Asus ROG Republic of Gamers,Intel Core Ultra 9 275HX,2.7 GHz,NVIDIA GeForce RTX 5090 (24 GB),64 GB RAM,2 TB + 2 TB PCIe 4.0 NVMe SSD,Windows 11 Home,64 bit,Intel AI Boost up to 13 TOPS,AI Enabled,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/Thunderbolt 5 (DisplayPort)/RJ-45,Off Black,39.90 cm ( 15.71 in ),29.80 cm ( 11.73 in ),2.35 cm ( .93 in ),3.30 kg ( 7.28 lb ),24999.0,,,A0-ASPY2,"18""",2025,2.5K WQXGA Mini LED 240 Hz Display,2560 X 1600 (WQXGA),4 Speakers with Smart Amp Technology,"Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",1080P FHD IR Camera,,https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-648711.html
Gaming Laptop,Asus TUF Gaming,AMD Ryzen 5-7535HS,3.3 GHz,NVIDIA GeForce RTX 3050 (4 GB),8 GB RAM,512 GB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C 3.2/RJ-45,Graphite Black,35.90 in ( 91.19 cm ),25.60 in ( 65.02 cm ),2.45 cm ( .96 in ),2.30 kg ( 5.07 lb ),3199.0,,,A0-ASPY2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),Built-in Mic/Speakers,Backlit Chiclet Keyboard 1-Zone RGB,720p HD Camera,,https://www.jarir.com/sa-en/asus-fx507z4hn132w-laptops-648712.html
