product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,color,cpu_clock,cpu_model,gpu_model,os,ram,release_date,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,audio_feature,special_features
Laptop,Asus,Zenbook,648717,11%,5999,5299,Intel AI Boost up to 13 TOPS,AI Enabled,Ponder Blue,2.9 GHz,Intel Core Ultra 9,Intel Arc Graphics,Windows 11 Home,32 GB RAM,2025,3K OLED Touch Display,2880 X 1800 (OLED),"14""",1 TB M.2 NVMe PCIe 4.0 SSD,Yes,FHD 1080p with Privacy Shutter,1.28 kg ( 2.82 lb ),https://www.jarir.com/sa-en/asus-zenbook-14-laptops-648717.html,"Smart Amp Technology, Built-in Speaker",
Laptop,Asus,Vivobook 15,653381,27%,2399,1749,,,Quiet Blue,1.3 GHz,Intel Core i5,Intel UHD Graphics,Windows 11 Home,8 GB RAM,2024,FHD-LED Anti-glare Display,1920 X 1080 (FHD),"15.6""",512 GB PCIe NVMe M.2 SSD,,720p HD Camera with Privacy Shutter,1.88 kg ( 4.14 lb ),https://www.jarir.com/sa-en/asus-vivobook-laptops-653381.html,"SonicMaster Audio, Built-in Speaker",Chiclet Keyboard
Laptop,Apple,MacBook Air,632672,12%,5499,4799,16-core Neural Engine,Apple Intelligence,Silver,,M3,10-core GPU,macOS Sonoma,8 GB RAM,2024,Liquid Retina Display,2880 X 1864,"15.3""",512 GB SSD,,1080p FaceTime HD Camera,1.51 kg ( 3.33 lb ),https://www.jarir.com/sa-en/apple-macbook-air-15-m3-laptops-632672.html,Built-in Mic/Speakers,
Laptop,MSI,Modern,645336,30%,2299,1599,,,Platinum Grey,P-core: 1.3 - 4.6 GHz/E-core: 0.9 - 3.4 GHz,Intel Core i5,Intel Iris Xe Graphics,Windows 11,8 GB RAM,2024,FHD IPS 60 Hz Display,1920 X 1080 (FHD),"14""",512 GB NVMe M.2 SSD,,HD Webcam,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/msi-modern-14-laptops-645336.html,Built-in Speakers/Mic,
Laptop,Apple,MacBook Air,632666,12%,5499,4799,16-core Neural Engine,Apple Intelligence,Space Grey,,M3,10-core GPU,macOS Sonoma,8 GB RAM,2024,Liquid Retina Display,2880 X 1864,"15.3""",512 GB SSD,,1080p FaceTime HD Camera,1.51 kg ( 3.33 lb ),https://www.jarir.com/sa-en/apple-macbook-air-15-m3-laptops-632666.html,Built-in Mic/Speakers,
Laptop,Apple,MacBook Air,632655,14%,4999,4299,16-core Neural Engine,Apple Intelligence,Silver,,M3,10-core GPU,macOS Sonoma,8 GB RAM,2024,Liquid Retina Display,2560 X 1664,"13.6""",512 GB SSD,,1080p FaceTime HD Camera,1.24 kg ( 2.73 lb ),https://www.jarir.com/sa-en/apple-macbook-air-13-m3-laptops-632655.html,Built-in Mic/Speakers,
Laptop,Apple,MacBook Air,632657,14%,4999,4299,16-core Neural Engine,Apple Intelligence,Starlight,,M3,10-core GPU,macOS Sonoma,8 GB RAM,2024,Liquid Retina Display,2560 X 1664,"13.6""",512 GB SSD,,1080p FaceTime HD Camera,1.24 kg ( 2.73 lb ),https://www.jarir.com/sa-en/apple-macbook-air-13-m3-laptops-632657.html,Built-in Mic/Speakers,
Laptop,Acer,Aspire 3,655512,24%,2699,2049,,,Silver,P-core: 1.7 - 4.7 GHz/E-core: 1.2 - 3.5 GHz,Intel Core i7,Intel Iris Xe Graphics,Windows 11,16 GB RAM,2025,FHD-LED IPS Display,1920 X 1080 (FHD),"15.6""",512 GB SSD,,720p HD Camera,1.90 kg ( 4.19 lb ),https://www.jarir.com/sa-en/acer-laptops-655512.html,Dual Stereo Speaker/ Dual Microphone,
Laptop,Apple,MacBook Air,632667,10%,6299,5669,16-core Neural Engine,Apple Intelligence,Midnight,,M3,10-core GPU,macOS Sonoma,16 GB RAM,2024,Liquid Retina Display,2880 X 1864,"15.3""",512 GB SSD,,1080p FaceTime HD Camera,1.51 kg ( 3.33 lb ),https://www.jarir.com/sa-en/apple-macbook-air-15-m3-laptops-632667.html,Built-in Mic/Speakers,
Laptop,Apple,MacBook Air,632675,10%,6299,5669,16-core Neural Engine,Apple Intelligence,Space Grey,,M3,10-core GPU,macOS Sonoma,16 GB RAM,2024,Liquid Retina Display,2880 X 1864,"15.3""",512 GB SSD,,1080p FaceTime HD Camera,1.51 kg ( 3.33 lb ),https://www.jarir.com/sa-en/apple-macbook-air-15-m3-laptops-632675.html,Built-in Mic/Speakers,
